head,text,date,comm_num
Массовый сбой произошел в работе telegram,"
В ряде стран мира, в том числе в Казахстане, наблюдается массовый сбой в работе соцсети telegram, передает zakon.kz.  Согласно сайту downdetector.ru, telegram не работает в Казахстане, ряде городов России, Кыргызстана, Украины, Ирана, в Германии, Нидерландах, Италии и др.   Пользователи отмечают, что программа не работает совсем. У кого-то не отправляются сообщения и не грузятся медиафайлы. 
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-09:09,12
В стоимостном выражении объёмы производства основных благородных и цветных металлов перевалили за 3 триллиона тенге,"
В
стоимостном выражении объёмы производства основных благородных и цветных
металлов перевалили за 3 триллиона тенге
 
За январь-декабрь 2019 года в Казахстане производство основных благородных
и цветных металлов достигло 3,2 трлн тенге, рост промышленного производства с
учётом инфляции составил 6,8%.
Для сравнения: в аналогичном периоде годом ранее производство в секторе составляло
2,9 трлн тенге*, реальный рост — 5,4%.
* Здесь и далее сравниваются оперативные данные за январь-декабрь
2019-го и 2018 годов.

В разрезе областей практически 60% выпуска пришлось всего на два ключевых
региона: Восточно-Казахстанскую (1,04 трлн тг, 32,2% от РК) и Карагандинскую
(861,9 млрд тенге, 26,8%) области. В этих регионах сконцентрированы основные
мощности по добыче меди и цинка, а также свинца и драгметаллов; работают такие
гиганты сектора, как ТОО «Корпорация „Казахмыс»», группа KAZ Minerals и АО
«Казцинк» (генеральный инвестор — швейцарская компания Glencore International).
Третий ключевой регион — Павлодарская область (354,7 млрд тг, 11% от РК).
Здесь расположены крупнейшие мощности по добыче и первичной переработке
алюминия АО «Алюминий Казахстана», формации Eurasian Resources Group (ERG).

В натуральном выражении в сегменте цветмета отмечен рост выпуска
рафинированной необработанной меди (плюс 7,9% до 472,8 тыс. тонн). Среди
благородных металлов производство необработанного и полуобработанного серебра
увеличилось на 5,5%, до 1,02 тыс. тонн, золота — на 5,8% до 103,1 тонн.
В то же время выпуск свинца сократился на 14,3%, необработанного алюминия
и оксида алюминия — на 4,9%, цинка — на 3,2%.

За январь-декабрь 2019 года экспорт необработанного и полуобработанного
серебра достиг 625,5 тонн (278,1 млн долл. США). Основой импортёр серебра —
Соединённое Королевство (58% в натуральном выражении и 52,8% — в стоимостном).
Экспорт необработанного и полуобработанного золота составил 3,3 тонны (5,3
млн долл. США). Основой импортёр золота — Кыргызстан (88% в натуральном
выражении и 84,1% — в стоимостном).

Среди цветных металлов Казахстан экспортировал рафинированной меди и
необработанных медных сплавов на сумму 2,5 млрд долл. США (443 тыс. тонн), необработанного
алюминия — на 513,3 млн долл. США (272,9 тыс. тонн), необработанного свинца —
на 111,4 млн долл. США (81,4 тыс. тонн), необработанного цинка — на 504,5 млн
долл. США (199,8 тысяч тонн).
Основные импортёры казахстанской меди — Китай, ОАЭ и Турция; алюминия —
Турция, Греция и Узбекистан; свинца — Вьетнам и Нидерланды; цинка — Китай и
Россия.

 
",2020-02-14-09:09,0
"Медсестра проиграла на ставках деньги, собранные на лечение умирающего сына","
Медсестра из английского города Лидс, графство Йоркшир, проиграла на букмекерских сайтах деньги, собранные на лечение умирающего от рака сына, сообщает zakon.kz со ссылкой на lenta.ru. Шестилетний сын медсестры Стейси Уорсли (Stacey Worsley) Тоби Най (Toby Nye) болел нейробластомой. Лечения этого онкологического заболевания не входит в программу обязательного медицинского страхования, поэтому медсестра объявила сбор денег на платные медицинские услуги. Через сайт краудфандинга зимой 2017 года ей удалось за три месяца собрать 200 тысяч фунтов (16,3 миллиона рублей). В сборе средств участвовали игроки местного футбольного клуба ""Лидс Юнайтед"" и фанаты команды, матери двух смертельно больных девочек, которые проходили лечение вместе с Тоби, школа, в которой учился мальчик, и представители общественности. Между январем 2017 года и мартом 2018 года Уорсли проиграла на букмекерских сайтах 100 тысяч фунтов (49 миллион тенге) из собранных средств. В то время Тоби еще был жив, однако позже мальчик скончался. Летом 2019 года Королевский суд Лидса приговорил Уорсли к двум годам тюремного заключения условно. Трибунал Совета по сестринскому делу и акушерству разрешил женщине сохранить работу, отстранив ее от выполнения должностных обязанностей лишь на 12 месяцев. Она пояснила представителям Совета, что увлеклась азартными играми из-за отчаяния и при необычном и трагическом стечении обстоятельств. На трибунале отметили, что Уорсли проявляет искреннее и глубокое раскаяние и постановили, что запретить ей работать медсестрой было бы чрезмерно жестокой и непропорциональной его проступку мерой.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-09:00,4
Из-за неизвестного вещества отравилась семья в Шымкенте: младенец погиб,"
Семья из Ордабасинского района отравилась в гостях у родственников, сообщает zakon.kz со ссылкой на otyrar.kz. В больницу были доставлены люди разных возрастов из одной семьи – 2000, 2002, 2014, 2017 и 2019 годов рождения. Как сообщает издание, самый младший из них был госпитализирован в состоянии клинической смерти. Спасти его не удалось: ребенок скончался. Еще двое детей были определены в реанимацию. В их организмах наблюдается сильное действие токсичных веществ, которые на данный момент пока неизвестны. У них также диагностирован токсический шок. Взрослым ребятам была оказана необходимая помощь, после чего их отпустили домой. Известно, что семья отравилась в гостях у родственников в микрорайоне ""Север"". Согласно анализу, сделанному специалистами с помощью специальных приборов, на месте происшествия угарный газ не зафиксирован. Для последующих анализов специалисты изъяли продукты. Есть предположение, что семья могла отравиться веществами, которыми соседи травили клопов в своей квартире.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-08:46,9
"Безработица в Казахстане незначительно сократилась: за год численность безработных снизилась на 0,1%","
Безработица в Казахстане незначительно сократилась: за год численность
безработных снизилась на 0,1%
 
В четвёртом квартале 2019 года численность занятого
населения составила 8,8 млн человек, увеличившись на 0,7% за год. В
соответствующем периоде предыдущего года показатель составлял 8,7 млн человек,
при росте на 2% за год.
Заметнее всего количество занятых казахстанцев
увеличилось в столице: годовой рост составил 9,2%, до 553,6 тыс. человек. В
Атырауской области число занятых выросло на 4,1%, в Алматы — на 2,9%.
Наибольшее количество занятых работают в секторе
оптовой и розничной торговли; ремонте автомобилей и мотоциклов: 1,4 млн
человек, или 16,3% от общего количества. В тройку лидирующих отраслей также
вошли сельское, лесное и рыбное хозяйство (1,2 млн человек, или 13,4%) и
образование (1,1 млн человек, или 12,7%). Замыкают ТОП-5 отраслей по наибольшей
численности занятого населения промышленность (1,1 млн человек) и строительство
(642,2 тыс. человек).

Тем временем численность безработного населения в
стране составила 441,4 тыс. человек, сократившись на 0,1% по сравнению с
аналогичным периодом 2018 года (441,9 тыс. человек). При этом значение уровня
безработицы в РК осталось без изменений — 4,8%.
По данным Электронной биржи труда, самые дефицитные
профессии в стране по соотношению резюме и вакансий — охранник, оператор
котельной, инспектор по патрулированию, медицинские сёстры и братья,
воспитатели. Самые избыточные профессии — юрист, специалист по найму,
экономист, животновод, финансист.

Больше всего безработных традиционно наблюдается в
густонаселённых регионах. Так, наибольшее число безработного населения
насчитывается в Алматы (49,2 тыс. человек, +0,8% за год), а также в Алматинской
области (48,2 тыс. человек) и Туркестанской (42,1 тыс. человек) областях.
Замыкают пятёрку пессимистичного «лидерства»
Восточно-Казахстанская и Карагандинская области, где численность безработных
составила 34,5 тыс. и 29,7 тыс. человек соответственно.
Наиболее высокий уровень безработицы наблюдается в
Туркестанской области, Алматы и Шымкенте — 5,1%.

 
",2020-02-14-08:26,0
Президент Бразилии сравнил Greenpeace с мусором,"
Президент Бразилии Жаир Болсонару назвал международную природозащитную организацию Greenpeace мусором, сообщает zakon.kz со ссылкой на life.ru. Такое заявление он сделал после того, как журналисты потребовали от него комментарий по поводу ее критики в адрес бразильских властей, исключивших из нового состава Национального совета по Амазонии губернаторов региона и представителей общественности. Что такое вообще этот чертов Greenpeace? Это мусор! - заявил Болсонару. По мнению Greenpeace, у новой структуры властей Бразилии нет четких планов, целей и бюджетов на их реализацию. Бразильский лидер известен своими провокационными заявлениями. До этого случая он назвал шведскую экоактивистку Грету Тунберг соплячкой. А жену президента Франции оскорбил, критикуя ее внешность.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-08:23,9
"Футболист московского ""Динамо"" устроил потасовку в матче против ""Кайрата"" ","
На товарищеском матче алматинского ФК ""Кайрат"" с московским ""Динамо"" произошла потасовка, сообщает zakon.kz со ссылкой на Sports.kz. Матч состоялся в рамках учебно-тренировочного сбора алматинского клуба в Турции. Инициатором потасовки стал защитник московского ""Динамо"" Сергей Паршивлюк. На 78-й минуте Паршивлюк эмоционально отреагировал на фол футболиста ""Кайрата"", что привело к массовой потасовке, в ходе которой на поле выбежали фанаты московского клуба. В результате инцидента с поля был удален защитник ""Динамо"" Тони Шунич. Матч закончился со счетом 1:1. В составе алматинского клуба гол на свой счет на 57-й минуте записал Данияр Усенов.             Посмотреть эту публикацию в Instagram  Товарищеский матч алматинского ""Кайрата"" с московским ""Динамо"" завершился ничьей (1:1), во втором тайме команды устроили потасовку. #kaz #football Публикация от  SPORTS.KZ (@kzsports) 13 Фев 2020 в 8:29 PST  
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-08:03,10
"Россиянину после 15-лет рабства в Казахстане пришлось доказывать, что он жив ","
Россиянину после 15-лет трудового рабства в Казахстане пришлось доказывать, что он жив, сообщает zakon.kz со ссылкой на astanatv.kz. Этот мужчина - гражданин России. 15 лет находился в рабстве в Караганде. Его освободили после смерти хозяина. Сейчас в Казахстане у него нет документов. А на родине его давно признали мертвым. Есть даже свидетельство о смерти. Сейчас он перебивается случайными заработками и надеется хоть как-нибудь вернуться домой. Таких как он, бывших рабов в нашей стране десятки. Только в прошлом году почти 80 человек стали жертвами торговли людьми. Среди них есть даже ребенок. Салават приехал в Казахстан после армии. Будучи гражданином России потерял документы. Тогда знакомый предложил ему поработать у родителей. Мужчина согласился. Он не знал, что на 15 лет попадет в настоящее рабство. Долгие годы он пас скот и делал работу по дому лишь за еду и ночлег. Выбраться из кабалы удалось только после смерти ""хозяина"". Салават хотел вернуться на родину. Но, оказалось, там его никто не ждет. Дома его давно признали мертвым. Мне сказали: ""Можете не приезжать, вы умерли"". У меня даже справка о смерти есть. Выслали ее мне с Посольства. В 2003 году меня похоронили там, в России, - рассказал Салават. Вернуться с того света Салавату удалось через суд. А вот восстановить документы пока не получается. Мужчина живет в специальном приюте и перебивается случайными заработками. И он такой - не один. Только в прошлом году жертвами торговли людьми стали 76 человек. Большая часть из них - мужчины. Есть один ребенок. Живой товар обычно продают в пределах Казахстана. В 2019-м зафиксирован лишь один случай, когда человека вывезли за рубеж. Это была Турция. Остальные кейсы были по эксплуатации людей на территории РК. Из них 20 случаев - пострадавшие граждане Казахстана. Их ввезли в города Казахстана из иных городов Казахстана. Т.е. это была внутренняя торговля людьми. И около 50 случаев - по ввозу на территорию РК. Продают обычно граждан Узбекистана, России, Молдовы, Филиппин и Китая. Таких рабов используют в основном в домашнем хозяйстве, строительстве, на фермах и в секс-индустрии, - объяснила национальный офицер международной организации по миграции агентства ООН по миграции Алия Белоносова. Попасть в руки рабовладельцев может каждый, говорят в ООН. Поэтому среднестатистического портрета жертвы не существует. Однако, психологи всё же нашли сходства у тех, кого использовали для оказания интим-услуг.  Практически у каждой девочки в детстве было либо посягательство сексуального характера, либо проблемы с отцом, т.е. жестокий деспотичный отец, который бил девочку. Либо были сексуальные притязания со стороны родственников.  Вербовщиков психологи называют в каком-то роде своими коллегами. Ведь для успеха этой нелегальной деятельности им необходимо ""прощупать"" уязвимое место жертвы, - поведала член общественного совета деятельности органов внутренних дел МВД РК Оксана Тарабукина . На днях 21 казахстанку освободили из сексуального рабства в Бахрейне. Девушки выехали на острова для работы в гостиницах. Правда, изначально оказание интимных услуг не входило в их обязанности. Но, когда молодые особы приехали в Манаму, всё пошло по стандартному сценарию. Забрали паспорта, отобрали сотовые телефоны. В ближайшее время их вернут на родину. Личности и подробности операции в МИДе не разглашают.   
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-07:50,5
Вопросы перехода на латиницу обсудили в Акорде,"
Вопросы
перехода на латиницу обсудили в Акорде
 
Глава
государства принял общественного деятеля Адиля Ахметова, передает zakon.kz со ссылкой на Акорду.
В ходе встречи
были обсуждены проблемные вопросы перехода алфавита казахского языка на
латинскую графику.
По мнению Адиля
Ахметова, необходимо тщательно, без спешки изучить поступающие предложения, при
их анализе опираясь на научный подход.
Также были рассмотрены
и другие актуальные вопросы общественной жизни страны.
Адиль
Курманжанович Ахметов казахстанский государственный и
общественный деятель, ученый, дипломат. доктор филологических наук, профессор,
академик. Автор книг и ряда научных работ, посвященных языкам. Заслуженный
деятель Казахстана.
",2020-02-14-07:50,0
Дарига Назарбаева: Некачественные законы дискредитируют государственную власть,"
Дарига
Назарбаева: Некачественные законы дискредитируют государственную власть
 
Председатель
Сената Парламента РК Дарига Назарбаева провела совещание по графику
рассмотрения законопроектов в Палатах Парламента РК. В мероприятии приняли
участие представители руководства Мажилиса, члены Бюро Сената, Министр юстиции,
представители руководства Администрации Президента, Канцелярии
Премьер-Министра, а также руководство аппаратов Палат Парламента, сообщает zakon.kz.
Во вступительном
слове Дарига Назарбаева отметила, что, несмотря на заметное улучшение качества
законотворческой деятельности, остается ряд нерешенных проблем организации
законодательного процесса в целом.
Необходимо
выслушать все стороны и понять, где есть сбои в системе, которые мешают
выполнению нашей главной функции - принятию качественных законов, - подчеркнула
она.
Стоит отметить,
что 90% законопроектов инициируются Правительством. Ежегодно утверждается План
законопроектных работ, где указаны сроки внесения законопроектов в Парламент.
Но на практике
План не соблюдается, постоянно происходят сдвиги сроков внесения законопроектов
в Парламент к концу года. Это, на мой взгляд, свидетельствует о некачественном
планировании и низкой исполнительской дисциплине. В этой связи, хотела бы
обратить внимание представителей Правительства на необходимость улучшения
планирования и контроля исполнения Плана законопроектных работ, - отметила Д.
Назарбаева.
Следующей
проблемой, по словам Спикера Сената, является качество законопроектов, вносимых
Правительством в Парламент. Мажилис проводит большую работу с законопроектами,
инициированными Правительством, внося в них поправки, порой заново переписывая
проект закона. На поправки депутатов, требующие финансовых расходов, необходимо
заключение Правительства, на что уходит время. Зачастую заключения Правительства
приходят с нарушениями сроков.
Приведу один
только пример - законопроект по вопросам недропользования, газа и
газоснабжения. Поступил в Мажилис 11 сентября и рассматривался там три месяца.
В Сенат поступил 12 декабря. Если вычесть все праздничные и выходные дни, то
буквально через 3 рабочих дня мы были вынуждены рассматривать его в первом
чтении на заседании Палаты, а еще через 3 рабочих дня - во втором чтении. Таким
образом, Сенат рассматривал данный законопроект всего 8 рабочих дней с учетом дней
рассмотрения на заседании Сената. Куда это годится? Это только один пример
несогласованности в наших действиях, но очень яркий, - сказала Д. Назарбаева.
В ходе совещания
была затронута работа такого важного звена в законодательном процессе как
Межведомственная комиссия по вопросам законопроектной деятельности при
Правительстве.
Сенат через своих
представителей активизировал свою работу в этой комиссии по обсуждению
концепций проектов законов на начальной стадии, чтобы хоть как-то повлиять на
качество принимаемых законов. Согласно положению о работе данной комиссии,
материалы по обсуждаемым вопросам должны представляться членам комиссии за 7
рабочих дней, но зачастую они представляются с нарушением сроков. Обращаю
внимание Министерства юстиции на недопустимость таких фактов, - сказала Д.
Назарбаева.
Отдельным пунктом
обсуждения стало право сенаторов вносить поправки в законопроекты. Нередко
возникают ситуации, когда сенаторы выявляют противоречия в проекте, предлагают
поправки, которые улучшают законопроект, а разработчики начинают убеждать
сенаторов, что все эти противоречия исправят позже, поправки учтут в следующем
законопроекте, но вот этот конкретный проект закона в виду ограниченности
сроков необходимо принять без поправок.
Сенаторы никогда
не предлагали и не будут предлагать вернуть законопроект в Мажилис
необоснованно. К внесению поправок сенаторами и возвращению законопроектов в
Мажилис следует относиться нормально, как к рабочему деловому процессу. Все
наши предложения в конечном итоге направлены на повышение качества
законопроектов. Некачественные законы дискредитируют государственную власть, -
подчеркнула Д. Назарбаева.
В своем
выступлении Министр юстиции Марат Бекетаев рассказал, что на сегодняшний день
разрабатывается механизм, чтобы до подготовки концепции законопроектов были
опубликованы основные подходы для открытого обсуждения их в обществе со всеми
заинтересованными группами населения.
Дарига Назарбаева
также предложила изменить процедуру подготовки международных соглашений, чтобы
в их разработке принимали участие и сенаторы.
Завершая
совещание, Спикер Сената предложила всем участникам законодательного процесса
отбросить ведомственные интересы и работать согласованно, начиная с обсуждения
концепции законопроектов до принятия законов.
За каждым законом
судьба огромного количества людей, предприятий, бизнеса. Это очень серьезный
вопрос. Я призываю Правительство пересмотреть свой План законопроектных работ
на этот год, он неработающий, - заявила Д. Назарбаева.
",2020-02-14-07:42,0
За сутки в Китае зафиксировали более 4 тыс. новых случаев заболевания коронавирусом ,"
За сутки в китайской провинции зафиксировали более 4 тыс. новых случаев заболевания, всего с начала эпидемии в Хубэе заразились почти 52 тыс. человек, сообщает zakon.kz со ссылкой на РБК.  В китайской провинции Хубэй за минувшие сутки от осложнений, вызванных новым коронавирусом COVID-19, погибли 116 человек. Об этом сообщается на сайте региональной комиссии по вопросам здравоохранения. Из них в Ухане, где началась эпидемия, скончались 88 человек. При этом выявлено 4823 новых случаев заражения, из них 3910 в Ухане. Таким образом, число зараженных в провинции возросло до 51 986 человек. Из больниц выписали 690 пациентов. По данным Всемирной организации здравоохранения, по состоянию на 13 февраля общее число жертв в Китае составило 1386. 
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-07:19,1
Под угрозой две трети населения Земли: в ВОЗ дали прогноз по коронавирусу,"
Число зараженных новым коронавирусом из Китая COVID-19 потенциально может достигнуть двух третей населения земли, считает американский инфекционист Айра Лонджини, советник Всемирной организации здравоохранения (ВОЗ), сообщает zakon.kz со ссылкой на fontanka.ru. Лонджини не исключает, что введенный в Китае карантин может замедлить рост эпидемии, однако коронавирус мог выйти далеко за пределы закрытых зон прежде, чем китайские власти приняли необходимые меры. Ученый исходит из данных, что каждый инфицированный человек обычно заражает еще двух-трех людей. Отследить распространение COVID-19 сложно: быстрых тестов на заболевание нет, а у некоторых людей оно протекает в сравнительно легкой форме. Возможность глобального распространения коронавируса допускают и другие ученые. По подсчетам исследователя из Имперского колледжа Лондона Нила Фергюссона, в Китае ежедневно могут заражаться до 50 000 человек. А профессор Гонконгского университета Габриэль Лен убежден, что если не остановить эпидемию, коронавирус могут подхватить две трети населения планеты. Эксперт по инфекционным заболеваниям из Лондонской школы гигиены и тропической медицины Дэвид Хейман помнит реакцию ВОЗ на атипичную пневмонию в 2003 году. По его мнению, чтобы понять, как далеко может распространиться вирус, нужно собрать больше данных. Он отметил, что помимо Китая, есть и другие страны, где выявлены случаи заболевания, но им удается сдержать распространение эпидемии. Количество зафиксированных случаев коронавируса по всему миру уже превысило отметку в 60 000, число смертей достигло 1370 человек. В одном только Китае за минувшие сутки от эпидемии умерли 254 человека, и пока это самый высокий скачок смертности от вируса за один день.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-06:31,5
На большей части республики ожидаются снег и осадки,"
С прохождением атмосферных фронтальных разделов на большей части республики ожидаются снег и осадки (дождь, снег), лишь на юге Казахстана - погода без осадков, сообщает zakon.kz. Местами ожидаются гололед, туман, метель и усиление ветра, говорится в сообщении РГП ""КАЗГИДРОМЕТ"". В Костанайской, Карагандинской, Северо-Казахстанской, Кызылординской областях местами ожидаются туман, метель, усиление ветра 15-20 м/с, в Кызылординской области местами - гололед. В Акмолинской области местами ожидается низовая метель, туман, ночью усиление ветра 15-20 м/с. Ночью в Павлодарской области местами – низовая метель, усиление ветра 15-20 м/с. В Мангыстауской, Атырауской, Западно-Казахстанской, Жамбылской областях местами ожидаются туман, гололед, днем в Жамбылской местами – усиление ветра 15-20 м/с. В Алматинской области – туман, гололед, в районе Жаланашколя усиление ветра 15-20 м/с. В Туркестанской, Актюбинской областях местами ожидается туман. Ночью в Восточно-Казахстанской области ожидаются туман, усиление ветра 15-20 м/с. Прогноз погоды в Алматы: днем 1°, преимущественно ясно. Прогноз погоды в Нур-Султане: днем -10°, преимущественно ясно. Прогноз погоды на 14 февраля.
Больше новостей в Telegram-канале «zakon.kz». Подписывайся!

",2020-02-14-06:03,0
Как получить документ на подтверждение резидентства," Как получить документ на подтверждение резидентства  Департамент государственных доходов по Восточно-Казахстанской области разъясняет, что в случае осуществления резидентом деятельности в иностранном государстве, с которым Республикой Казахстан (далее - РК) заключен международный договор, при выполнении условий соответствующего международного договора резидент вправе применить в указанном государстве положения этого международного договора. Для подтверждения резидентства Республики Казахстан в целях применения международного договора, а также в иных целях лицо представляет в налоговый орган, являющийся вышестоящим по отношению к налоговому органу, в котором такое лицо зарегистрировано по месту нахождения, пребывания (жительства), налоговое заявление на подтверждение резидентства. В случае, если лицо зарегистрировано по месту нахождения, пребывания (жительства) в налоговом органе, который подчиняется по вертикали непосредственно уполномоченному органу, налоговое заявление на подтверждение резидентства представляется в такой налоговый орган. Перечень требуемых документов: 1. Налогового заявление на получение подтверждения налогового резидентства (необходимо в 2-х экз. распечатать с сайта КГД МФ РК www.kgd.gov.kz.- законодательство РК - нормативные правовые акты-налоговые заявления). 2. Иностранное юридическое лицо, являющееся резидентом на основании того, что его место эффективного управления находится в Республике Казахстан, - нотариально засвидетельствованную копию документа, подтверждающего наличие в Республике Казахстан места эффективного управления (места нахождения фактического органа управления) юридического лица (протокола общего собрания совета директоров или аналогичного органа с указанием места его проведения или иных документов, подтверждающих место основного управления и (или) контроля, а также принятия стратегических коммерческих решений, необходимых для проведения предпринимательской деятельности юридического лица). 2.2. Гражданин Республики Казахстан, являющийся резидентом, -копию удостоверения личности или паспорта Республики Казахстан. 2.3. Иностранец и лицо без гражданства, являющиеся резидентами, - нотариально засвидетельствованные копии: - заграничного паспорта или удостоверения лица без гражданства; - вида на жительство в Республике Казахстан (при его наличии); - документа, подтверждающего период пребывания в Республике Казахстан (Справка с миграционной полиции). По итогам рассмотрения налогового заявления на подтверждение резидентства налоговый орган в течение десяти календарных дней со дня его представления: 1) выдает лицу документ, подтверждающий его резидентство, по форме, утвержденной уполномоченным органом, или подтверждает его резидентство по форме, установленной компетентным органом иностранного государства. В случае выдачи документа, подтверждающего резидентство, в форме электронного документа датой выдачи является дата размещения такого документа на интернет-ресурсе уполномоченного органа: 2) выносит обоснованное решение об отказе в подтверждении резидентства лица. Отказ в подтверждении резидентства лицу производится в случае его несоответствия условиям, установленным статьей 217 Налогового Кодекса. Резидентство лица подтверждается за каждый календарный год, указанный в налоговом заявлении на подтверждение резидентства, в пределах срока исковой давности, установленного статьей 48 Налогового кодекса. В случае утраты документа, подтверждающего резидентство, налоговый орган, выдавший такой документ, в течение десяти календарных дней со дня представления заявления резидента выдает его дубликат. В ходе предоставления государственной услуги оказывается практическая помощь по заполнению налогового заявления на получение подтверждения налогового резидентства в явочном порядке, а также посредством телефонной связи.   ",2020-02-14-02:20,0
